Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
42,Appeaser,2.49666666667,0.9826028016267511,0.0,1.0,0.8157215049243172,0.1671977326270545,0.011330315331761182,0.0057504471168671,1.0,0,0,1.0
43,Soft Joss: 0.9,2.49583333333,0.980709534368071,0.0,1.0,0.8135086345495484,0.1676430530112522,0.011290781264279723,0.007557531174919715,1.0,0.225595238095,1.0,0.5
44,Thumper,2.495,0.9774150268336315,0.0,1.0,0.8109112224941334,0.16735139073016475,0.01276585898026801,0.008971527795433849,1.0,0,0,0
45,"Alexei: ('D',)",2.495,0.9792364367046216,0.0,1.0,0.813050476253177,0.16700271945972814,0.013371656928944233,0.006575147358150902,1.0,0,1.0,0
46,NMWE Long Memory: 95 players,2.495,0.9812978819287967,0.0,1.0,0.8144309438793464,0.16746385157411647,0.011483754896269845,0.006621449650267255,1.0,0,0,1.0
47,Eatherley,2.495,0.9804791481810116,0.0,1.0,0.810046359598536,0.1708927073062169,0.012364393781847482,0.006696539313399781,1.0,1.0,1.0,1.0
48,NMWE Stochastic: 47 players,2.49166666667,0.9821388702835454,0.0,1.0,0.8144833177751487,0.16787115119920756,0.01042351904646246,0.007222011979181265,1.0,1.0,0,0
49,Soft Go By Majority,2.49083333333,0.9849674669059906,0.0,1.0,0.8117031770798323,0.17324014609555696,0.00962577693301829,0.005430899891592511,1.0,0.875,1.0,0
50,Retaliate 2: 0.08,2.49,0.9789756206665176,0.0,1.0,0.8109260139311435,0.1685464447843014,0.013054217482164645,0.007473323802390654,1.0,0,0,0
51,NMWE Memory One: 30 players,2.49,0.982499439084586,0.0,1.0,0.8086678852519982,0.17383612512764648,0.009559258804936875,0.007936730815418416,1.0,0,0,0
