Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
36,Grofman,2.56115671642,0.8838115671641791,8.0,1.0,0.7630671641791045,0.12074440298507458,0.03950559701492536,0.07668283582089548,1.0,0.39588933602,0.492336755756,0.95367976689
37,Meta Majority Long Memory: 95 players,2.55779850746,0.698151119402985,19.0,1.0,0.6559458955223881,0.04220522388059701,0.07194776119402985,0.229901119402985,0.985189778687,0.0747830643197,0.788782550043,0.0289047177207
38,Resurrection,2.54735074627,0.7125410447761193,5.0,1.0,0.651733208955224,0.06080783582089552,0.07593470149253727,0.21152425373134315,1.0,0,0.928335052339,0
39,Hard Tit For Tat,2.54447761194,0.6257667910447762,30.0,1.0,0.6065503731343284,0.019216417910447748,0.08725186567164175,0.28698134328358205,1.0,0,0.260721358599,0
40,Doubler,2.54171641791,0.7749626865671642,0.0,1.0,0.7026212686567164,0.07234141791044771,0.05256902985074624,0.17246828358208946,1.0,0.75670628406,1.0,0
41,Soft Go By Majority: 40,2.53809701493,0.8017574626865671,5.0,1.0,0.722830223880597,0.07892723880597016,0.04302985074626865,0.15521268656716417,1.0,0.773145008065,0.647538769491,0
42,Tit For 2 Tats,2.53686567164,0.8582033582089552,0.0,1.0,0.7669440298507463,0.09125932835820894,0.02326119402985074,0.11853544776119404,1.0,0.758305045725,1.0,0
43,"Alexei: ('D',)",2.53384328358,0.7287873134328359,62.0,1.0,0.6643414179104478,0.0644458955223881,0.06700746268656721,0.204205223880597,0.99424157052,0,0.99472407991,0
44,Slow Tit For Two Tats,2.53347014925,0.8576567164179104,0.0,1.0,0.7668768656716418,0.09077985074626867,0.0231660447761194,0.11917723880597014,1.0,0.758446045926,1.0,0
45,Meta Majority Finite Memory: 78 players,2.5272761194,0.7323376865671641,8.0,1.0,0.673858208955224,0.05847947761194028,0.0596585820895522,0.2080037313432835,0.999982380284,0.186646916701,0.912905759462,0
46,Soft Go By Majority,2.52268656716,0.7952742537313433,5.0,1.0,0.7111753731343285,0.0840988805970149,0.04646455223880597,0.15826119402985067,1.0,0.819743852213,0.721996629591,0
47,Win-Stay Lose-Shift: C,2.52171641791,0.7483152985074627,11.0,1.0,0.6065317164179106,0.14178358208955225,0.11224626865671641,0.1394384328358209,1.0,0,0,1.0
48,Appeaser,2.52164179104,0.7481361940298508,11.0,1.0,0.6067444029850746,0.1413917910447761,0.11280783582089551,0.13905597014925372,1.0,0,0,1.0
