Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
43,Grudger,1.9075,0.20792300805729633,24.0,0.15425,0.06677089759688139,0.1401580275964967,0.22444891733957975,0.5686221574670421,0.964285714286,0.925531914894,0.624206349206,0.875680272109
44,Eatherley,1.9075,0.19801757152511826,23.5,0.15025,0.06741601109058068,0.12941098227109082,0.23077489109764823,0.5723981155406803,1.0,0.903968253968,0.722222222222,0.878907563025
45,Cooperator Hunter,1.90666666667,0.14295347269049224,25.0,0.14525,0.0421866788968317,0.10089328665652593,0.25185274498161797,0.6050672894650243,1.0,0.833333333333,0.642592592593,0.458095238095
46,Grofman,1.90583333333,0.14928698752228164,25.5,0.14625,0.04140390207357426,0.10775611942340226,0.2556948166654605,0.5951451618375629,0,0.833333333333,0.692857142857,0.41288298265
47,Naive Prober: 0.1,1.90583333333,0.1923507045403713,23.0,0.138,0.06677798352780333,0.12498396632049229,0.2230590111629643,0.58517903898874,0.9,0.970588235294,0.607575757576,0.878515406162
48,Meta Winner: 173 players,1.905,0.2311140999775835,23.0,0.15625,0.08438465729104087,0.14452021272449528,0.2107163305528921,0.5603787994315718,0.984848484848,0.922764227642,0.95325203252,0.927818362193
49,Meta Winner Long Memory: 95 players,1.9025,0.2184400360685302,23.5,0.147,0.0783741127535519,0.13853130060256721,0.21779164941597495,0.5653029372279059,0.978260869565,0.992063492063,0.921276595745,0.895818815331
50,Soft Joss: 0.9,1.89916666667,0.20115709835336004,24.0,0.15275,0.0690273846250104,0.13114888367131278,0.2258997184146843,0.5739240132889925,0.9,0.940476190476,0.666666666667,0.840941434045
51,Doubler,1.89916666667,0.19856566562079786,24.0,0.149,0.06215310110146491,0.1350072838006076,0.22839327579097757,0.5744463393069499,1.0,0.961538461538,0.59751984127,0.888018741633
52,Stochastic Cooperator,1.89875,0.20031159581571334,24.0,0.1515,0.0676016147525986,0.1319394122710909,0.23062887310003685,0.5698300998762738,0.833333333333,0.971590909091,0.828957528958,0.708385093168
53,Thumper,1.89833333333,0.20791638870358017,24.0,0.15225,0.06720944265426713,0.1397538078409899,0.22737921115771825,0.5656575383470246,0.904761904762,0.930894308943,0.544444444444,0.849383753501
54,Fool Me Once,1.8975,0.15898463593854376,25.0,0.154,0.048437061262132486,0.1106815133541756,0.23967064958592285,0.601210775797769,0.777777777778,0.925925925926,0.53137254902,0.378579059829
55,Soft Grudger,1.89666666667,0.211999104544437,23.0,0.1615,0.07182082790591257,0.1397587158826187,0.22175465400275046,0.5666658022087183,0.880952380952,0.930894308943,0.534615384615,0.880847723705
56,ThueMorseInverse,1.89583333333,0.20889186773905272,23.0,0.13625,0.06970780779632821,0.1375479921575393,0.22240469435850452,0.570339505687628,0.94,0.944444444444,0.923076923077,0.846718931475
57,Resurrection,1.89166666667,0.20984629093339274,24.0,0.15675,0.06540178128985151,0.1436527622140213,0.22997078008061875,0.5609746764155085,0.75,0.965909090909,0.614583333333,0.878680897646
58,NMWE Stochastic: 47 players,1.89166666667,0.20258236865538737,24.0,0.14325,0.06959109434630115,0.13201274867512425,0.22561615096080237,0.5727800060177722,0.868421052632,0.965925925926,0.629642857143,0.893660355709
59,"ZD-GEN-2: 0.125, 0.5, 3",1.89083333333,0.20765271872902216,23.5,0.1575,0.06710690620066351,0.13928391657427394,0.22441858284350508,0.5691905943815575,0.875,0.844444444444,0.727465986395,0.834785133566
